Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2018-06-06,1121.64,1121.73,1110.33,2455048936.0,0.0
2018-06-05,1110.61,1117.6,1108.01,2430909857.0,495674.0
2018-06-04,1107.93,1109.1,1103.7,2425545381.0,0.0
2018-06-01,1106.98,1107.21,1097.67,2423453734.0,0.0
2018-05-31,1093.29,1101.98,1091.53,2393487588.0,0.0
2018-05-30,1101.42,1104.35,1096.15,2411283306.0,670712.0
2018-05-29,1091.8,1096.09,1084.31,2390893357.0,0.0
2018-05-25,1098.51,1102.83,1096.48,2405594255.0,0.0
2018-05-24,1096.77,1100.73,1087.86,2401771889.0,0.0
2018-05-23,1098.8,1098.89,1089.18,2406219212.0,265018.0
2018-05-22,1099.35,1108.72,1098.48,2407701127.0,0.0
2018-05-21,1100.97,1106.02,1097.3,2411252682.0,289252.0
2018-05-18,1095.18,1101.16,1094.5,2398856873.0,370238.0
2018-05-17,1101.69,1108.83,1095.59,2413470994.0,0.0
2018-05-16,1102.89,1106.38,1091.81,2416109220.0,1118422.0
2018-05-15,1091.73,1092.34,1082.83,2392766791.0,0.0
2018-05-14,1094.81,1100.69,1092.03,2399511668.0,1095285.0
2018-05-11,1086.99,1092.61,1083.75,2383471361.0,0.0
2018-05-10,1105.85,1107.24,1095.69,2424832795.0,0.0
2018-05-09,1092.08,1093.22,1076.88,2394635509.0,169753.0
2018-05-08,1081.57,1089.83,1074.64,2371748134.0,846561.0
2018-05-07,1088.44,1091.32,1082.76,2387663900.0,0.0
2018-05-04,1079.61,1081.77,1056.1,2368297663.0,0.0
2018-05-03,1064.21,1065.84,1045.19,2334521565.0,0.0
2018-05-02,1063.75,1072.69,1061.33,2333499418.0,0.0
2018-05-01,1072.93,1073.3,1057.54,2353646199.0,0.0
2018-04-30,1066.44,1081.17,1065.71,2339412581.0,718031.0
2018-04-27,1074.62,1085.27,1071.73,2358082986.0,0.0
2018-04-26,1078.34,1080.59,1072.7,2366229716.0,0.0
2018-04-25,1060.97,1063.46,1048.86,2328113694.0,0.0
2018-04-24,1067.19,1084.73,1060.99,2341773173.0,0.0
2018-04-23,1068.54,1078.24,1064.25,2344729868.0,0.0
2018-04-20,1065.36,1078.24,1061.73,2337755205.0,0.0
2018-04-19,1075.08,1090.32,1072.96,2359093933.0,0.0
2018-04-18,1095.32,1098.15,1088.55,2403502635.0,0.0
2018-04-17,1097.45,1099.91,1090.31,2408169720.0,0.0
2018-04-16,1085.67,1090.64,1078.7,2382312404.0,0.0
2018-04-13,1078.11,1089.63,1074.23,2365741317.0,0.0
2018-04-12,1085.38,1088.98,1078.63,2381693520.0,0.0
2018-04-11,1074.72,1086.03,1072.58,2358302210.0,0.0
2018-04-10,1081.28,1086.33,1070.73,2372684814.0,0.0
